,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/control/0,/nvidiagpu/0/load/3,/win32/load/0,/win32/load/1,/win32/data2/0,/win32/data2/1,/win32/iops/0,/win32/iops/1,/win32/iops/2,/DirectX/comment/0,/DirectX/comment/1,/DirectX/fps/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Fan","GPU Memory","CPU Usage(Process)","CPU Usage(Global)","Working Set","Page file Usage","Read Ops","Write Ops","Other Ops","Process Id","DirectX Version","FPS(Present)"
03/17/2015 15:37:34,24.242424,7.575756,9.090906,19.6969681,15.1515121,54,46,45,45,54,4399.995,4399.995,4399.995,4399.995,44.4635429,34.4057579,0,6.53913164,99.9998856,41.93622,13.3874741,18.5359421,40,1569,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,12.5,15.151515,716,945,66,64,0,13608,9,30.03876
03/17/2015 15:37:35,11.2903233,17.7419357,6.45161867,24.19355,14.9193525,45,47,44,51,51,4399.995,4399.995,4399.995,4399.995,43.92554,33.90184,0,6.482896,99.9998856,41.93536,13.3871994,18.5362167,40,1567,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,12.21374,14.8854961,716,945,73,62,0,13608,9,30.03876
03/17/2015 15:37:36,25,15.625,1.5625,15.625,14.453125,47,52,49,44,54,4399.995,4399.995,4399.995,4399.995,44.4771271,34.5005722,0,6.4870553,99.9998856,41.93505,13.3871,18.5363159,40,1567,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,13.333333,14.583333,716,944,68,58,0,13608,9,30.0678959
03/17/2015 15:37:36,28.125,12.5,1.5625,9.375,12.890625,49,55,47,46,56,4399.99463,4399.99463,4399.99463,4399.99463,43.8042259,33.78408,0,6.527896,99.99988,41.9362068,13.38747,18.5359459,40,1569,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,11.0714283,12.8571424,716,944,70,64,0,13608,9,30.0678959
03/17/2015 15:37:37,17.7419357,9.677422,1.61290169,17.7419357,11.6935492,46,45,47,53,54,4399.99951,4399.99951,4399.99951,4399.99951,42.8431053,32.48514,0,6.52503872,99.99999,41.9360046,13.3874054,18.53601,40,1569,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,11.7647057,12.5,716,944,67,64,0,13608,9,30.0678959
03/17/2015 15:37:38,18.75,10.9375,4.6875,20.3125,13.671875,50,54,47,45,54,4399.995,4399.995,4399.995,4399.995,43.8628922,33.887413,0,6.498423,99.9998856,41.93523,13.3871574,18.5362587,40,1568,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,12.1323528,13.6029415,716,944,69,64,0,13608,9,30.03876
03/17/2015 15:37:39,17.1875,20.3125,7.8125,20.3125,16.40625,45,45,46,52,52,4399.995,4399.995,4399.995,4399.995,44.59914,34.6783447,0,6.483312,99.9998856,41.95848,13.3945808,18.5288353,40,1570,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,14.772727,16.666666,723,951,67,60,0,13608,9,29.6084042
03/17/2015 15:37:40,23.4375,9.375,4.6875,18.75,14.0625,48,45,47,52,52,4399.99756,4399.99756,4399.99756,4399.99756,43.25156,32.9924431,0,6.51111269,99.99995,41.9588165,13.3946877,18.5287285,40,1572,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,12.1323528,13.9705887,723,950,72,64,0,13608,9,30.0678959
03/17/2015 15:37:41,14.0625,12.5,7.8125,21.875,14.0625,45,56,46,49,55,4399.99756,4399.99756,4399.99756,4399.99756,42.26947,32.3212128,0,6.457231,99.99995,41.9616,13.3955765,18.52784,40,1572,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,12.5,15.151515,723,950,68,62,0,13608,9,30.0678959
03/17/2015 15:37:41,21.875,9.375,9.375,17.1875,14.453125,46,44,57,52,53,4399.99756,4399.99756,4399.99756,4399.99756,43.0762558,32.8744164,0,6.502677,99.99995,41.95968,13.3949623,18.5284538,40,1571,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,12.1323528,14.3382349,723,950,70,64,0,13608,9,30.0678959
03/17/2015 15:37:42,24.242424,12.121212,4.54545,16.6666622,14.3939381,54,47,46,44,54,4399.99561,4399.99561,4399.99561,4399.99561,43.189,33.2042847,0,6.437623,99.9999,41.9592857,13.3948364,18.52858,40,1571,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,12.9629631,14.8148146,723,950,71,64,0,13608,9,30.0678959
03/17/2015 15:37:43,19.3548431,9.677422,3.22580338,22.5806465,13.7096767,46,47,45,51,51,4399.99561,4399.99561,4399.99561,4399.99561,40.9602051,30.92718,0,6.44743967,99.9999,41.9613876,13.3955078,18.5279083,41,1568,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,12.109375,13.28125,723,950,73,62,0,13608,9,30.0678959
03/17/2015 15:37:44,21.875,7.8125,7.8125,15.625,13.28125,47,45,47,44,47,4399.999,4399.999,4399.999,4399.999,42.1463242,32.0257721,0,6.477154,99.99998,41.95983,13.3950119,18.5284042,40,1569,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,12.0967741,13.3064518,723,950,64,58,0,13608,9,30.03876
03/17/2015 15:37:44,23.5294113,7.35294247,5.882353,22.05882,14.7058849,56,47,46,45,54,4399.993,4399.993,4399.993,4399.993,43.9948654,33.90861,0,6.480522,99.99985,41.96294,13.3960037,18.5274124,40,1570,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,13.5714283,14.6428576,725,953,77,64,0,13608,9,30.03876
03/17/2015 15:37:45,25,10.9375,6.25,18.75,15.234375,46,47,58,49,58,4399.993,4399.993,4399.993,4399.993,44.2157249,34.1972733,0,6.485127,99.99985,41.9614563,13.3955307,18.5278854,40,1569,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,12.6050425,15.12605,725,954,64,56,0,13608,9,29.6367111
03/17/2015 15:37:46,25,10.9375,6.25,21.875,16.015625,45,44,48,51,51,4399.99658,4399.99658,4399.99658,4399.99658,43.0132,33.16907,0,6.47849369,99.99992,41.96687,13.3972588,18.5261574,41,1569,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,13.28125,16.015625,726,954,74,60,0,13608,9,29.6084042
